Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Nouveau Midi Tube Skirt,VINCE CAMUTO,$38.90,NULL,https://n.nordstrommedia.com/id/sr3/e9de83d6-7caf-435e-ae22-13b9baea4417.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,No reviews yet–be the first!,(0),[],69 people are viewing,Chic leopard spots enliven this curve-hugging midi that's ideal for work or play.
Print Midi Skirt,"LOVE, FIRE",$39.00,NULL,https://n.nordstrommedia.com/id/sr3/3b7c500b-b0a2-44d0-94d5-9d0415579318.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.3 out of 5,(13),"[['perfect', 'I love the feel of the material. Fit perfectly.', '80'], ['Nice summery skirt', ""Really cute, has a little bit of extra fabric in the back but I like it overall. The print is really nice and it's a great skirt for an everyday simple but fashionable outfit. Can be dressed down with a T-shirt and sneakers or dressed up with a nice blouse and heels."", '64'], ['Casual elegance', ""I received the skirt. I have found that with each purchase the sizing varies! So sometimes med fits and sometimes it doesn't. I put this one in the dryer and luckily it shrank to the exact size I needed. Love this brand. With the pandemic going on, I have used online purchasing, and usually it works out."", '80'], ['Second favorite skirt ordered', 'I liked this skirt, but I ordered a second skirt in another brand and ended up liking the other more. This skirt is shorter than the other, lighter in overall color. The other was more flattering, but I did toy with the idea of owning two similar skirts! This one is pretty good.', '64'], ['true to size and as seen in the picture!', 'fits perfectly and true to size. the quality of the material is really good too!', '80']]",23 people are viewing,This slip-style crepe midi-skirt is inspired by '90s minimalism.
Tiered Miniskirt,ONE CLOTHING,$35.00,NULL,https://n.nordstrommedia.com/id/sr3/b54dc578-658f-4364-b764-8b1cd6c59a9e.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.8 out of 5,(4),"[['Cute Summer Skirt', 'Light weight, true to size, can wear to the beach or dinner. Very versatile.', '80'], ['cute, love it', ""It's so cute, soft. Very nice for summer, comfortable. I love it."", '80'], ['Cute & Comfy', ""I was very uncertain about trying this skirt out. I have never really heard of this brand before and I was not too sure if I should try some of their clothing, especially since you can't tell what kind of material it is. I fell in love with the top that goes with this skirt and that was really the final push that made me purchase it. Normally, I am either an XS or a S (depending on the brand I can also be in between.) I took a look at the size chart and decided that I was going to get a small. It fit perfectly, this skirt was also very comfortable and not restricting at all. I believe I could have ordered an XS and I believe I would have been fine with it as well. The top part of the skirt is stretchy and not restricting whatsoever. Overall, I am pleasantly surprised with this skirt and brand. For reference, I am 5'5 and 118 lbs."", '80'], ['Summer Time Skirt', 'This skirt is the perfect addition to you’re closet. It’s super comfy and is flattering. However I would recommend if between sizes or unsure to go down. Since the elastic band can stretch to fit. Besides that it’s super cute and not see through.', '64']]",9 people are viewing,"Lightly flounced, tiered ruffles make a sweet statement on this summery tie-waist mini."
Stretch Cotton Pencil Skirt,1901,$69.00,NULL,https://n.nordstrommedia.com/id/sr3/08ffb310-d460-4526-8cb0-43a04cafd06c.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,No reviews yet–be the first!,(0),[],10 people are viewing,"A removable belt defines the waist of this stretchy cotton skirt that's summery, sweet and full of charm."
'Island Pin Dot' Midi Tube Skirt,VINCE CAMUTO,$38.90,NULL,https://n.nordstrommedia.com/id/sr3/d9c510fc-1415-4762-b2dc-69ce959e1540.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,4.7 out of 5,(3),"[['Love this', 'Cute, flattering, and comfortable. Dress it up with heels, or down with flip flops. My 4th Vince Camuto stretch pencil skirt.', '80'], ['Staple skirt', ""Easy to wear and can be dressed up or down. I ordered the xsmall and small cause I'm often between sizes at 5'5'' 124lbs. Both fit nicely. I held on to the small because it hugged a little less and was a more modest look for the office."", '64'], ['SLEEK PIN DOT SKIRT', 'GOOD QUALITY AND CUTE STYLING. ORDER DOWN A SIZE. RUNS GENEROUS.', '80']]",16 people are viewing,"Playful pin dots perk up a slim, stretchy skirt in an elegant midi length."
Lace Miniskirt,LEITH,$55.00,NULL,https://n.nordstrommedia.com/id/sr3/071cfa58-bf33-46de-94cb-7aed73d044a3.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,5.0 out of 5,(1),"[['super cute', 'This skirt is very very mini. It’s so cute. I purchased the red and its so beautiful. Size up!', '80']]",12 people are viewing,Romantic floral lace adds sultry charm to this shapely ruched mini punctuated with a flouncy ruffled hem.
Drawstring Knit Maxi Skirt,CASLON®,$59.00,NULL,https://n.nordstrommedia.com/id/sr3/68e94443-a0c4-450b-bd84-4c66eae86a36.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,No reviews yet–be the first!,(0),[],12 people are viewing,"A warm-weather alternative to comfy sweats, this jersey maxi skirt is shaped with a high, drawstring-cinched waistband and a breezy side slit."
Emily Stretch Denim Miniskirt,STS BLUE,$35.90,NULL,https://n.nordstrommedia.com/id/sr3/e4d658ce-ad82-4a35-8828-877a7f58edaf.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,No reviews yet–be the first!,(0),[],46 people are viewing,Subtle fading and a fraying hem gives this soft stretch-denim mini the cool character of a vintage find.
Fleetwith Skort,PATAGONIA,$59.00,NULL,https://n.nordstrommedia.com/id/sr3/ad7e6a7f-c3aa-4c1a-aa12-dbcffb54e27d.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,5.0 out of 5,(4),"[['Perfect Skort!', 'Perfect summer look! This skirt is perfect for many summer activities, from shopping to hiking, you can go anywhere while looking good and feeling comfortable!', '80'], ['Comfy skort', 'Lightweight skort, super-comfortable - perfect for outdoor activities of all kinds. Wish it came in more colors!', '80'], ['Comfortable skirt', 'Looks good. true to size. comfortable and well made. ordered another in a different color', '80'], ['great purchase!', 'love this skort! comfortable fit & really flattering length. bought it in both colors and wish there were more!', '80']]",12 people are viewing,"Whether you're going on a weekend hike or hanging out at home, you'll love the look and feel of this easy skort that's quick-drying and wrinkle-resistant."
Briia Pergola Floral Print Pencil Skirt,TED BAKER LONDON,$113.90,NULL,https://n.nordstrommedia.com/id/sr3/6d21fa28-ed9c-4215-bccc-6a659be027e2.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196,No reviews yet–be the first!,(0),[],9 people are viewing,Lifelike vining flowers climb across your curves in a fitted pencil skirt that ups the charm with a notched high/low hem.
