Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Ripped Straight Leg Jeans,SKU: swpants04200504188,US$24.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/26/1590460634157cda4680a805b1d882d087096ff693_thumbnail_900x.webp,4.7,107 Reviews,"[['', 'Cute', '4.7'], ['', 'stylish', '4.7'], ['', 'Cute but not same like the pic but still lovely 😊', '4.7']]",107 Reviews,"Style: Casual
Color: Medium Wash
Pattern Type: Plain
Details: Ripped, Button, Pocket, Zipper
Pant Length: Long
Type: Straight Leg
Composition: 85% Cotton, 15% Polyester
Material: Denim
Fabric: Non-stretch
Sheer: No
Fit Type: Regular Fit
Waist Type: Mid Waist
Closure Type: Button Fly, Zipper Fly"
Distressed High-Rise Skinny Jeans,SKU: swpants04191119571,US$22.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/11/25/157465181431c2bbfb1555f32295629d74e5761a30_thumbnail_900x.webp,None,1589 Reviews,"[['', 'i was skeptical at first but these are the first pair of jeans that fit me perfectly. i have big thighs and I’m short.. 5ft to be exact', 'None'], ['', 'These jeans are the best, they fit perfect and i love them.', 'None'], ['', 'LOVE THESE. Ordering jeans online is near impossible for me because I’m short with thicker legs so nothing fits. I was almost in tears when I put these on and they fit perfectly!!! Highly recommend', 'None']]",1589 Reviews,"A pair of denim jeans featuring a high-rise waist, heavy front distressing, belt loops, five-pocket construction, a zip fly with button closure, front whiskering, stone wash, and an ankle-cut hem. Blue jeans never go out of style, complete the look with a graphic crop top and sneakers."
Distressed High-Rise Skinny Jeans,SKU: pants181205111,US$20.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/08/03/1596418591b54dbca64167d585d6064abc2f42837b_thumbnail_900x.webp,None,2789 Reviews,"[['', 'Good fit. first real high waisted jeans i got from Shein. Hope they would make these in a dark colour as well.', 'None'], ['', 'Perfect fit!', 'None'], ['', 'Oh my goshhhh. I was so nervous to buy jeans without trying on... but these are AMAZING! They have a lot of stretch and fit me like a glove!! The color and distressing are perfect and very flattering! So happy I took a chance on these!', 'None']]",2789 Reviews,"Denim never goes out of style! A pair of denim jeans featuring a high-rise waist, light stone washing, front distressing, belt loops, zip fly with button closure, and a skinny leg. Complete the look with open-toe heels and a cropped turtleneck top."
Dark Wash Ripped Mom Jeans,SKU: swpants04190927466,US$20.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/10/18/157138236199143cfb962eec9c0f6b4431e48202a3_thumbnail_900x.webp,None,2173 Reviews,"[['', 'Honestly some of the best jeans I own! Sorry for the dirty mirror but this is the only pic I have right now lmao. They fit amazingly and are loose in the right places!!', 'None'], ['', 'these are officially like my favourite pair of jeans!! i adore them', 'None'], ['', 'FIT AMAZINGLY! I love them so much!', 'None']]",2173 Reviews,"Style: Casual
Color: Grey
Pattern Type: Plain
Details: Button, Pocket, Zipper
Pant Length: Long
Type: Straight Leg
Composition: 85% Cotton, 15% Polyester
Material: Denim
Fabric: Non-stretch
Sheer: No
Fit Type: Regular Fit
Waist Type: High Waist
Closure Type: Button Fly, Zipper Fly"
Ripped Straight Leg Jeans,SKU: swpants04200609092,US$26.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/09/1591695686a4b84d09f994ac6d293d0eba660fa890_thumbnail_900x.webp,4.8,95 Reviews,"[['', 'They were a bit tight in the leg area but I feel like that was my fault and I should have ordered a size up but a good baggy shirt could fix that but otherwise I am in loooove with these! They are so comfy and I will definitely be wearing these out and they are sooooo cute too.', '4.8'], ['', 'Super cute!!! Obsessed with these jeans. Recommend buying them and sticking to your size. I ordered a XS and I fit 24-25 or 0-1 :) *posted a YouTube video shein haul @ jessica marie on youtube*', '4.8'], ['', 'They look nothing like the picture', '4.8']]",95 Reviews,
Distressed Stone Wash Skinny Jeans,SKU: swpants01190403933,US$18.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/04/02/155419407968435966_thumbnail_900x1199.webp,None,9999+ Reviews,"[['', 'Nice fit', 'None'], ['', 'I’m 5’6 and 130 lbs and the medium was a bit loose. There a little long as well so I wouldn’t recommend for anyone shorter unless you like to roll them.', 'None'], ['', 'Fits amazing!', 'None']]",9999+ Reviews,"A pair of skinny jeans featuring heavy distressing, light stone wash throughout, mid-rise waist, belt loops, a zip fly with button closure, five-pocket construction, and front whiskering. Blue jeans never go out of style! Complete the look with a white tube top and plaid flannel."
Ripped Raw Hem Mom Jeans,SKU: swpants03191015863,US$22.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/10/15/15711313855051d2d30eb2d9dc1bb512febf454250_thumbnail_900x.webp,None,3189 Reviews,"[['', 'The fit is perfect! They are snug but not overly tight.', 'None'], ['', 'these pants are amazing, their thick and very true to size, i got an XS but i usually wear a 3/4 jeans (26-27) and they fit great around the waist (long on me because i’m 5’1 but still, i love them)', 'None'], ['', 'They fit great! A little long on me and I’m 5’3 so I rolled them up to hit right above my ankles. High waisted and very cute. They came a little darker denim than pictured.', 'None']]",3189 Reviews,"Style: Casual
Color: Light Wash
Pattern Type: Plain
Details: Ripped, Raw Hem
Pant Length: Long
Type: Tapered/Carrot
Composition: 85% Cotton, 15% Polyester
Material: Denim
Fabric: Non-stretch
Sheer: No
Fit Type: Regular Fit
Waist Type: Mid Waist
Closure Type: Button Fly"
Ripped Detail Bleach Wash Jeans,SKU: swpants04200422990,US$29.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/08/15889050542ba2711e415042efda20ba353b51c2f7_thumbnail_900x.webp,None,993 Reviews,"[['', 'im 5’4 and they are maybe 3 inches long on me but still looks good, you could cuff them and they would still look cute. they are also really baggy so wouldn’t recommend if you’re looking for something tighter, short on waist perfect for someone with an hourglass figure and a big butt oh and they give like a instagram trendy vibe and love the material', 'None'], ['', 'Love these pants so much. They are so stylish and look great on me. Feel like real denim. Do not stretch one bit so be careful. I am 5’7 and these pants reach past my ankles which I love. To all my girls with long legs, don’t be afraid to buy', 'None'], ['', 'wwil post a picture soon.', 'None']]",993 Reviews,"Style: Casual
Color: Light Wash
Pattern Type: Plain
Details: Ripped, Button, Pocket, Zipper
Pant Length: Long
Type: Straight Leg
Composition: 85% Cotton, 15% Polyester
Material: Denim
Fabric: Non-stretch
Sheer: No
Fit Type: Regular Fit
Waist Type: Mid Waist
Closure Type: Button Fly, Zipper Fly"
Distressed High-Rise Skinny Jeans,SKU: swpants00190823863,US$21.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/08/23/15665488071826091852_thumbnail_900x1199.webp,None,1551 Reviews,"[['', 'Tall girls: these jeans are for you! I’m 5’6 and I had to roll them up about 3-4 inches for them to be at my ankles (which for me isn’t a problem). When I first took them out of the packaging I thought they weren’t going to fit because they looked small (I’m 160 lbs w big legs) but to my surprise they’re actually suuuuper stretchy which is great because I’m pretty sure the Large would’ve been huge on me. They are very high waisted, they reach up to my belly button. They’re super cute and super comfortable, and the color is more of a faded black rather than a solid black. Overall I think these jeans are a great buy, especially for the price they come at. PS- the jacket and t-shirt I’m wearing in the pics are also from this site!', 'None'], ['', 'Size down for sure! I got anXS and they fit good but they are very stretchy and high waisted', 'None'], ['', 'perfect fit. good for girls who have long legs', 'None'], ['', '', 'None'], ['', '', 'None'], ['', '', 'None']]",1551 Reviews,"A pair of denim jeans featuring a high-rise waist, front heavy distressing, belt loops, five-pocket construction, zip fly with button closure, and a skinny leg. Create an edgy look with these black skinny jeans by pairing them with a graphic tee and rhinestone heels."
Ripped Hem Cat Whiskers Skinny Jeans,SKU: swpants00191029266,US$23.00,NULL,https://img.ltwebstatic.com/images3_pi/2019/10/29/1572334821de8036cc4dbc538d7c9f2f6a6167db96_thumbnail_900x.webp,None,1688 Reviews,"[['', 'CUTE jeans, Id size up if you have curves via glutes. These fit, and stretch, so the Medium does fit fine (and Im a size 8) so Ill manage this now, but my bottom could use more room. I love that despite the tightness, they still fit high waisted over my belly button.', 'None'], ['', 'These fit AMAZING!! so stretchy and comfortable. Im 5 ft 9 inch, 155 lbs, 28 waist. I got these in medium. LOVE how comfortable these are. Highly recommend. Instagram @pykaso', 'None'], ['', 'These jeans literally fit me amazing! It’s so hard to find jeans that fit me all the way down to my ankles! I’m 5’8 so these jeans are definitely tall girl friendly', 'None']]",1688 Reviews,"Style: Casual
Color: Medium Wash
Pattern Type: Plain
Details: Ripped
Pant Length: Long
Type: Skinny
Composition: 85% Cotton, 13% Polyester, 2% Spandex
Material: Denim
Fabric: High Stretch
Sheer: No
Fit Type: Skinny
Waist Type: High Waist
Closure Type: Button Fly"
