Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
SHEIN Gingham Bodycon Mini Skirt,SKU: swskirt07190708590,US$5.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/07/18/15634380832151986522_thumbnail_900x1199.webp,None,6447 Reviews,"[['', 'great quality, not see through', 'None'], ['', 'In love with this skirt. Its so soft and comfortable and flattering. Fits so perfect. Im normally in a 00/0 or xs in pants but the skirt could stretch some its an elastic waistband.', 'None'], ['', 'The skirt fits perfectly! I thought it would be too short but its not!', 'None']]",6447 Reviews,"A knit mini skirt featuring an allover gingham pattern, high-rise waist, and a bodycon silhouette. Create a 90’s inspired look by pairing this mini skirt with a white crop top, fuzzy knit jacket, and a scrunchie. If you want a more casual look wear the skirt with a hoodie and sneakers."
SHEIN Drawstring Tie Side Skirt,SKU: swskirt07200413295,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/20/1587361611e417419601bdcc3aad80bf10e56ab66c_thumbnail_900x.webp,4.9,325 Reviews,"[['', '😍😍😍🔥cute', '4.9'], ['', 'Love this skirt very adjustable in length because of the ties and is flattering.', '4.9'], ['', 'lovely material love that you can adjust the length', '4.9']]",325 Reviews,"Style: Casual
Color: Black
Pattern Type: Plain
Length: Mini
Type: Bodycon
Details: Knot, Drawstring
Season: Summer
Composition: 95.2% Polyester, 4.8% Spandex
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Waist Type: High Waist
Belt: No"
Plus Floral Print Flare Skirt,SKU: swskirt03190610137,US$18.00,NULL,https://img.ltwebstatic.com/images2_pi/2019/06/10/15601477461449893969_thumbnail_900x1199.webp,None,702 Reviews,"[['', 'Loveee', 'None'], ['', 'skirt looks really posh nd classy ! length is also appropriate 👌', 'None'], ['', 'Lovely skirt and lovely material. Flowers not quite the same and less of them but still a lovely item, now I just need to find a nice top to suit it! It fits me and Im a size 14 waist and 16/18 hips. Length is perfect for work as falls just above the knee.', 'None']]",702 Reviews,"Style: Casual
Color: Black
Pattern Type: Floral
Length: Midi
Type: Flared
Fit Type: Regular Fit
Season: Spring/Summer
Composition: 100% Polyester
Material: Polyester
Fabric: Non-stretch
Lining: No"
Plus Plaid Lace Up Skater Skirt,SKU: swskirt01191230341,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/06/1578277233864551f1336f963e54d5f9af8a40961c_thumbnail_900x.webp,4.6,268 Reviews,"[['', 'love this zip up skirt it fits so well and Ive gotten so many compliments !', '4.6'], ['', 'So gorgeous! Beautiful and very fitted. No stretch at all.', '4.6'], ['', 'I was kinda scared seeing the reviews thinking it was gonna be really long but the way that I want to wear it, it goes right above my knees. It’s a perfect length for me. I’m 5’6', '4.6']]",268 Reviews,"Style: Preppy
Color: Multicolor
Pattern Type: Plaid
Length: Short
Type: Flared
Details: Lace Up
Fit Type: Regular Fit
Season: Summer
Composition: 95% Polyester, 5% Spandex
Material: Polyester
Sheer: No
Fabric: Non-stretch"
SHEIN Split Hem Mini Skirt,SKU: swskirt07200612713,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/07/27/15958493277899a4320c19c377747a74c8be7dd3f3_thumbnail_900x.webp,None,NEW,[],NEW,"Style: Casual
Color: Dusty Pink
Pattern Type: Plain
Length: Mini
Type: A Line
Details: Split, Zipper
Season: Summer
Composition: 100% Polyester
Material: Polyester
Fabric: Non-stretch
Sheer: No
Waist Type: High Waist"
SHEIN Split Hem Plaid Skirt,SKU: swskirt07200114657,US$5.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/16/1579161433e74193b5b4bf5debd227dbde5f0cf397_thumbnail_900x.webp,4.7,2283 Reviews,"[['', 'Amazingg loved the skirt, fits exactly like measurements', '4.7'], ['', 'I got an extra large to be safe I’m 5’8, 175 pounds could have sized down to a large it’s stretchy but still cute might shrink a little after a wash!', '4.7'], ['', 'this was an amazing skirt and I highly recommend. it goes past my fingers so I can wear it to school and my parents wont be mad :)', '4.7']]",2283 Reviews,"Style: Elegant
Color: Black and White
Pattern Type: Plaid
Length: Mini
Type: Bodycon
Details: Split
Season: Summer
Composition: 95% Polyester, 5% Spandex
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Waist Type: Mid Waist"
Tartan Slit Hem Mini Skirt,SKU: swskirt02200415171,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/27/1587953454dcfc9f7b587697f4fc1d2590e7b454d4_thumbnail_900x.webp,None,3011 Reviews,"[['', 'Living my best vsco girl dreams', 'None'], ['', 'OMG! LOVE IT!, looks so perfect and fits perfectly. If you wear XS-S you should definitely go with size XS. The top is also from shein', 'None'], ['', 'My absolute faveeee it’s so cute I love it’s so much and the material is really nice , girl if you’re reading this just take the risk and buy it I promise you won’t regret it', 'None']]",3011 Reviews,"Style: Preppy
Color: Multicolor
Pattern Type: Tartan
Length: Mini
Type: A Line
Details: Split
Season: Summer
Composition: 100% Polyester
Material: Polyester
Fabric: Non-stretch
Sheer: No
Waist Type: High Waist"
SHEIN Buffalo Plaid High-Rise Mini Skirt,SKU: swskirt07200109583,US$5.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/13/157889827333cc30ab3c108510323eb6f7f13e4362_thumbnail_900x.webp,4.7,3835 Reviews,"[['', 'Its not tight but i love it', '4.7'], ['', 'too big for me and long', '4.7'], ['', 'ordered an xs. im 4 ft 11 in, about 110 - 118 lbs skirts on shein usually fit me better in a size xs bc it hugs tighter to my body the way i want it to. this is so cute and simple, can be paired with so much, dress up/down, slit is a nice detail, stretchy and thick material. would recommend!', '4.7']]",3835 Reviews,"A knit mini skirt featuring an allover buffalo plaid pattern, high-rise waist, asymmetrical front slit, and a bodycon silhouette. Create a 90’s inspired, retro look by pairing this mini skirt with a cropped cardigan, knee high socks, and booties"
SHEIN Elastic Waist Tartan Skirt,SKU: swskirt07200507160,US$5.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/07/15888353985c05e3e10988edcbf6827ae58cbdae1a_thumbnail_900x.webp,4.8,121 Reviews,"[['', 'It was amazballs', '4.8'], ['', 'Very stretchy soft material kinda long but still duper cute', '4.8'], ['', 'Cute', '4.8']]",121 Reviews,"Style: Preppy
Color: Multicolor
Pattern Type: Tartan
Length: Mini
Type: Bodycon
Season: Summer
Composition: 95% Polyester, 5% Spandex
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Waist Type: High Waist"
SHEIN Buttoned Tiered Ruffled Chambray Midi Skirt,SKU: swskirt07200520128,US$21.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/28/1590652120f5722c5ade6d23054260fe2432842d57_thumbnail_900x.webp,5.0,50 Reviews,"[['', 'I loved this skirt! True to size, nice and comfortable. You can style it into a bohemian look 💓', '5.0'], ['', 'love it! runs tru to size. I could have gotten a medium but I have wide hips so I prefer more space', '5.0'], ['', 'Love this!! Super cute. I’m 5’8” and it’s the perfect length.', '5.0']]",50 Reviews,"A chambray midi skirt featuring a high-rise waist, button-front closures, a tiered ruffled hem, and an A-line silhouette. This cute midi skirt would be great to wear when hanging out with friends. Style with a tucked in graphic tee and sandals."
