Name,Brand,Price,Discount,Image_Link,Rating,Number of Ratings,Reviews,Current Views,Description
Letter & Bar Code Graphic Tee,SKU: swtee04200512858,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/28/1590630640a101a2cf14d4efa8e83c5489cc1d7f5d_thumbnail_900x.webp,4.9,38 Reviews,"[['', 'cute', '4.9'], ['', 'It’s really nice and comfortable', '4.9'], ['', 'really cute & comfortable', '4.9']]",38 Reviews,"Style: Casual
Color: White
Pattern Type: Letter, Graphic
Neckline: Round Neck
Length: Regular
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Season: Summer
Composition: 100% Polyester
Material: Polyester
Fabric: Non-stretch
Sheer: No
Fit Type: Regular Fit
Placket Type: Pullovers"
Reflective Dragon Graphic Crop Tee,SKU: swtee04200618366,US$8.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/07/08/1594174569839babff1fe4d0ace170dec14e2c4fb2_thumbnail_900x.webp,5.0,NEW,"[['', 'Just a tiny bit tight but pretty . Thought it glows in the dark but unfortunately it doesn’t but very cute', '5.0'], ['', 'i love this shirt!! it’s stretchy and super comfortable! also AWESOME with flash on', '5.0'], ['', 'Love', '5.0']]",NEW,
USA Graphic Boxy Tee,SKU: RTSH170309107,US$9.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/01/03/1578040079756ca4166f85720f10b284a672fb4826_thumbnail_900x.webp,None,9999+ Reviews,"[['', 'i love it!! the material is soft and the quality is great. the colors aren’t faded at all and are vibrant! it does smell weird tho so i totally recommend washing before wearing :)', 'None'], ['', 'I LOVE this crop tee! I can’t wait to wear it more', 'None'], ['', 'Cute shirt. Nice material. Height: 5’2 weight: 138lbs bust size: 32D', 'None']]",9999+ Reviews,"A knit tee featuring a front “USA” text graphic, dropped shoulders, an American flag graphic on one of the short sleeves, and a boxy fit. This comfy, patriotic tee would be perfect to wear this Fourth of July! Try wearing distressed shorts and red high-top sneakers to complete the perfect holiday look."
Letter And Graphic Print Tee,SKU: swtee44200612713,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/12/15919402121d8aeb5c7650d9ac29f57468d38cb391_thumbnail_900x.webp,4.8,NEW,"[['', 'fits like the oversized t-shirts on the site, just a tad smaller. i got a medium and it fits like an xl on me :) love it for the bagginess', '4.8'], ['', 'I got XS and its still very oversized, keep that in mind', '4.8'], ['', 'i love this shirt so much. it is made of great material and i can’t wait to wear it.', '4.8']]",NEW,"Style: Casual
Color: Black
Pattern Type: Letter, Graphic
Neckline: Round Neck
Length: Regular
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Season: Summer
Composition: 95% Polyester, 5% Spandex
Material: Polyester
Fabric: High Stretch
Sheer: No
Fit Type: Regular Fit
Placket Type: Pullovers"
SHEIN Graphic Print Tie Dye Drop Shoulder Tee,SKU: swtee07200519884,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/03/1591150424cc4489c39b787baa2a01ddbdaedbe91b_thumbnail_900x.webp,4.9,393 Reviews,"[['', 'I’m not mad at it. I just thought it’d be a little different. I like the colors and the design. The material is just not what I expected.', '4.9'], ['', 'print and text inside shirt and not on top which makes it easier to wash and not fade', '4.9'], ['', 'I love it looks exactly like picture Im 160 pounds 5feet0 got a large', '4.9']]",393 Reviews,"Style: Casual
Color: Multicolor
Pattern Type: Tie Dye, Graphic
Neckline: Round Neck
Length: Regular
Sleeve Length: Short Sleeve
Sleeve Type: Drop Shoulder
Season: Summer
Composition: 95% Polyester, 5% Spandex
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Fit Type: Regular Fit
Placket Type: Pullovers"
Car And Slogan Graphic Drop Shoulder Oversize Tee,SKU: swtee03200409369,US$13.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/04/26/1587902780b2296a9fb084fbd4cda4fc4b5647600e_thumbnail_900x.webp,4.6,1314 Reviews,"[['', 'A dupe for pacsun shirt', '4.6'], ['', 'the PERFECT brandy dupe. its slightly see through and the sleeves are very long but thats okay bc its supposed to be oversized anyway :) the print is bright, just like the photo, and the tshirt is so comfy. (ignore size info but height)', '4.6'], ['', 'This shirt is soooooo good and it looks just like brandy and it’s comfy asf it’ll look so good on mom jeans and Nike Air Force 1’s!!!!', '4.6']]",1314 Reviews,"Style: Casual
Color: White
Pattern Type: Graphic, Slogan
Neckline: Round Neck
Length: Long
Sleeve Length: Half Sleeve
Sleeve Type: Drop Shoulder
Season: Summer
Composition: 35% Cotton, 65% Polyester
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Fit Type: Oversized
Placket Type: Pullovers"
Los Angeles Summer Graphic Oversized Tee,SKU: swtee00200518941,US$14.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/28/1590647231af4f2098e20a548c02f8ae044cfbe27b_thumbnail_900x.webp,4.9,514 Reviews,"[['', 'The quality is so bad', '4.9'], ['', 'The material is not exactly like the picture but other then that it’s nice', '4.9'], ['', 'very cute! i love it!!! I got a medium and its big on me! so if your looking for a nice loose graphic tee to wear with biker shorts get your size but if your looking for a regular size shirt get smaller!', '4.9']]",514 Reviews,"Make a statement in this knit oversized tee with front “Los Angeles Summer” and “California” texts with tropical graphics, a crew neck, short sleeves, and a longline hem. Create a chic, athleisure look by pairing this tee with biker shorts, high-top sneakers, and a fanny pack."
Cruisin Car Graphic Short Sleeve Tee,SKU: swtee00190826568,US$12.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/03/24/15850160413dd193faf64a20bee4ac070de010b18f_thumbnail_900x.webp,None,9999+ Reviews,"[['', 'Love, love, love. I ordered a size up to make it off the shoulders but had to cut the sides in the end. Still love the shirt.', 'None'], ['', 'True to size', 'None'], ['', 'Paired it with some cute bottoms, love it', 'None']]",9999+ Reviews,"A knit tee featuring a front graphic of a 50’s inspired drive-in restaurant complete with “American Style”, “Burger City”, and “Cruisin” text, a crew neck, dropped shoulders, short sleeves, and relaxed fit. Complete the look by pairing this retro and casual tee with plaid pants and white sneakers."
Solid Drop Shoulder Oversize Tee,SKU: swtee04200604995,US$10.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/06/08/15915810744aa3c9c14b4be91db86034fa41064f6f_thumbnail_900x.webp,4.7,553 Reviews,"[['', 'Not as bright as I imagined. The fabric is really soft, a bit see through but totally okay with a nude bra. It’s also not as oversized as I thought it would be. It’s still really nice!💖', '4.7'], ['', 'حلوه مره خذوا مقاسكم لان مره كبيره وطويل يوصل لنص الفخذ لايك لو استفدتوا', '4.7'], ['', 'Small is oversized but still nice.', '4.7']]",553 Reviews,"Style: Casual
Color: White
Pattern Type: Plain
Neckline: Round Neck
Length: Regular
Sleeve Length: Half Sleeve
Sleeve Type: Drop Shoulder
Season: Summer
Composition: 100% Cotton
Material: Cotton
Fabric: Slight Stretch
Sheer: No
Fit Type: Oversized
Placket Type: Pullovers"
Letter & Graphic Print Tee,SKU: swtee01200428107,US$11.00,NULL,https://img.ltwebstatic.com/images3_pi/2020/05/04/1588579015fabacf73c6a85bdabac28824f16938b9_thumbnail_900x.webp,4.8,451 Reviews,"[['', 'True to size', '4.8'], ['', 'Really good quality t-shirt. Material is soft but sturdy enough? Print doesnt look likely to come off easily.', '4.8'], ['', 'good basic shirt! I sized up to a large for an oversized fit but it was just a bit looser. I would probably size up if you want it to fit loosely', '4.8']]",451 Reviews,"Style: Casual
Color: Beige
Pattern Type: Letter, Graphic
Neckline: Round Neck
Length: Regular
Sleeve Length: Short Sleeve
Sleeve Type: Regular Sleeve
Season: Summer
Composition: 97% Polyester, 3% Spandex
Material: Polyester
Fabric: Slight Stretch
Sheer: No
Fit Type: Regular Fit
Placket Type: Pullovers"
